"species","trt","doy","stm.length_cm","flowers_g","gr.leaves_g","dead.leaves_g","stm_g","crown_g","agb_g","main.roots_g","adv.roots_g","moment"
"A","flood",155,31.0916666666667,0,0.30384,0,0.50862,0.0591,0.81246,0.13722,0,"pre-flooding"
"A","flood",155,34.8833333333333,0,0.41826,0,0.75834,0.2094,1.1766,0.27282,0,"pre-flooding"
"A","flood",155,25.7075,0,0.30918,0,0.51822,0.06792,0.8274,0.23772,0,"pre-flooding"
"A","flood",155,28.0583333333333,0,0.5421,0,0.7482,0.26538,1.2903,0.38436,0,"pre-flooding"
"A","flood",155,27.5527777767667,0,0.3294399996,0,0.5196,0.11748,0.8490399996,0.2606000004,0,"pre-flooding"
"A","flood",155,27.5527777798,0,0.2885600004,0,0.4458,0.09408,0.7343600004,0.1700799996,0,"pre-flooding"
"A","flood",155,20.7025,0,0.34026,0,0.45666,0.21108,0.79692,0.29136,0,"pre-flooding"
"B","flood",155,19.7925,0,0.2697,0,0.3111,0.06798,0.5808,0.21474,0,"pre-flooding"
"B","flood",155,23.66,0,0.36684,0,0.50646,0.07788,0.8733,0.34152,0,"pre-flooding"
"B","flood",155,22.4466666666667,0,0.44592,0,0.56136,0.10116,1.00728,0.3849,0,"pre-flooding"
"B","flood",155,23.2808333333333,0,0.46242,0,0.53538,0.10026,0.9978,0.38106,0,"pre-flooding"
"B","flood",155,27.3,0,0.58212,0,1.01664,0.15294,1.59876,0.57672,0,"pre-flooding"
"B","flood",155,24.57,0,0.33144,0,0.31818,0.07866,0.64962,0.24738,0,"pre-flooding"
"B","flood",155,26.3141666666667,0.0396,0.45786,0,0.66576,0.09264,1.16322,0.41646,0,"pre-flooding"
"B","flood",155,17.6691666666667,0,0.30396,0,0.31092,0.07704,0.61488,0.21504,0,"pre-flooding"
"B","flood",155,24.1908333333333,0,0.2508,0,0.28374,0.0672,0.53454,0.1536,0,"pre-flooding"
"B","flood",155,20.475,0,0.31008,0,0.408,0.08748,0.71808,0.46668,0,"pre-flooding"
"B","flood",155,24.1908333333333,0,0.39246,0,0.54378,0.15144,0.93624,0.27822,0,"pre-flooding"
"B","flood",155,19.6408333333333,0,0.26754,0,0.2853,0.07206,0.55284,0.1431,0,"pre-flooding"
"C","flood",155,17.29,0,0.26352,0.00936,0.31788,0.04338,0.59076,0.30588,0,"pre-flooding"
"C","flood",155,17.8966666666667,0,0.35094,0.03912,0.53262,0.0795,0.92268,0.29982,0,"pre-flooding"
"C","flood",155,33.5941666666667,0,0.1953,0.013728,0.2661,0.02238,0.475128,0.06294,0,"pre-flooding"
"C","flood",155,18.0483333333333,0,0.46554,0,0.56304,0.08544,1.02858,0.42036,0,"pre-flooding"
"C","flood",155,20.6266666666667,0,0.603,0.1626,0.73014,0.108,1.49574,0.77388,0,"pre-flooding"
"C","flood",155,23.5083333333333,0,0.2586,0,0.27288,0.04968,0.53148,0.19878,0,"pre-flooding"
"C","flood",155,22.4466666666667,0,0.378,0.01734,0.47346,0.05622,0.8688,0.34524,0,"pre-flooding"
"C","flood",155,21.6883333333333,0,0.57462,0,0.66288,0.1128,1.2375,0.66456,0,"pre-flooding"
"C","flood",155,22.8258333333333,0,0.4551,0.04464,0.79332,0.09096,1.29306,0.58944,0,"pre-flooding"
"C","flood",155,15.47,0,0.23082,0,0.29478,0.06558,0.5256,0.19824,0,"pre-flooding"
"C","flood",155,23.3566666666667,0,0.2547,0,0.37914,0.04302,0.63384,0.1215,0,"pre-flooding"
"C","flood",155,27.6033333333333,0,0.48966,0,0.54996,0.07248,1.03962,0.2979,0,"pre-flooding"
"D","flood",155,30.6366666666667,0,0.41532,0,0.43566,0.07674,0.85098,0.29664,0,"pre-flooding"
"D","flood",155,29.575,0,0.41208,0,0.4551,0.06438,0.86718,0.1992,0,"pre-flooding"
"D","flood",155,38.2958333333333,0,0.44346,0,0.54726,0.0672,0.99072,0.28722,0,"pre-flooding"
"D","flood",155,26.0866666666667,0,0.31164,0,0.25854,0.06114,0.57018,0.2001,0,"pre-flooding"
"D","flood",155,29.8025,0,0.39144,0,0.53988,0.0942,0.93132,0.25062,0,"pre-flooding"
"D","flood",155,29.575,0,0.318,0,0.45438,0.05328,0.77238,0.18198,0,"pre-flooding"
"D","flood",155,27.0725,0,0.2184,0,0.22578,0.0384,0.44418,0.10866,0,"pre-flooding"
"D","flood",155,30.7883333333333,0,0.4047,0,0.44586,0.07428,0.85056,0.27426,0,"pre-flooding"
"D","flood",155,27.5275,0,0.31974,0,0.26286,0.05244,0.5826,0.20082,0,"pre-flooding"
"D","flood",155,31.3444444464667,0,0.3566000004,0,0.3546,0.0496400004,0.7112000004,0.1643199996,0,"pre-flooding"
"D","flood",155,31.6983333333333,0,0.32808,0,0.3582,0.07224,0.68628,0.21234,0,"pre-flooding"
"D","flood",155,33.8216666666667,0,0.50058,0,0.45282,0.0768,0.9534,0.26106,0,"pre-flooding"
"E","flood",155,20.6266666666667,0,0.2592,0,0.15624,0.618,0.41544,0.25488,0,"pre-flooding"
"E","flood",155,19.11,0,0.35808,0,0.19416,0.0624,0.55224,0.2754,0,"pre-flooding"
"E","flood",155,16.38,0,0.144,0,0.06564,0.02412,0.20964,0.07068,0,"pre-flooding"
"E","flood",155,25.48,0,0.31428,0.01392,0.22332,0.06936,0.55152,0.213,0,"pre-flooding"
"E","flood",155,24.8733333333333,0,0.46632,0,0.23676,0.08352,0.70308,0.21984,0,"pre-flooding"
"E","flood",155,22.9016666666667,0,0.66396,0,0.34872,0.05904,1.01268,0.26988,0,"pre-flooding"
"E","flood",155,17.29,0,0.32388,0,0.1086,0.05412,0.43248,0.12576,0,"pre-flooding"
